Name in English,Name in Urdu
Muslim,مسلم
Maaz,معاذ
Murshad,مرشد
Moiz,معیز
Mohsin,محسن
Muhammad,محمد
Mehar,مہر
Mustafa,مصطفیٰ
Mahir,ماہر
Mudassar,مدثر
Mateen,متین
Mubeen,مبین
Meerab,میراب
Mane,مانع
Mohammad,محمد
Meraj,معراج
Mahin,ماح
Mehdi,مہدی
Mukhlis,مخلص
Mehtab,مہتاب
Mehrab,محراب
Mehram,محرم
Muntasir,منتصر
Musa,موسیٰ
Momin,مومن
Mazhar,مظہر
Murtaza,مرتضیٰ
Murat,مرات
Muneeb,منیب
Muzammel,مزمل
Mehran,مھران
Mushtaq,مشتاق
Minhaj,منہاج
Maher,مہر
Misbah,مصباح
Mehboob,محبوب
Misbah,مصباح
Muqaddas,مُقدس
Meer,میر
Mustaqim,مستقیم
Majid,ماجد
Mubashir,مُبشیر
Mannan,منان
Maula,مولا
Mujahid,مجاہد
Mirza,مرزا
Masab,مصعب
Murshid,مُرشد
Mir,میر
Mahmud,محمود
Muhib,محب
Murad,مراد
Mahdi,مہدی
Moinuddin,معین الدین
Moeen,معین
Mansoor,منصور
Mubarak,مبارک
Malik,مالک
Mujtaba,مجتبیٰ
Misam,میسم
Marwan,مروان
Mueed,معید
Ma'awiya,معاویہ
Mukhtar,مختار
Munawar,منور
Moazzam,معظم
Mani,مانی
Mumtaz,ممتاز
Maroof,معروف
Muzaffar,مظفر
Milad,میلاد
Moosa,موسٰی
Marjan,مرجان
Mahbub,محبوب
Muneer,منیر
Maqsood,مقصود
Mahmood,محمود
Maahir,ماہر
Masud,مسود
Maheer,ماہیر
Mujeeb,مجیب
Musaib,مسیب
Mukarram,مکرم
Mohtashim,محتشم
Maqbool,مقبول
Masood,مسعود
Mutasim,معتصم
Musharraf,مشرف
masoom,معصوم
Mahfooz,محفوظ
Madani,مدانی
Manaf,مناف
Mahfuz,محفوظ
Mubin,مُبین
Majeed,مجید
Masarrat,مسارت
Memon,میمون
Mehmood,محمود
Mushfiq,مشفق
Meekaa'eel,میکائیل
Malak,ملک
Mohid,موحد
Muzakkir,مُزکر
Mahar,مہر
Miftah,مفتاح
Malek,مالک
Matin,متین
Munir,مُنیر
Muttaqi,متقی
Mansha,منشا
Mohammed,محمد
Maier,مائر
Masroor,مسرور
Muna,منا
Manzoor,منظور
Mashkoor,مشکور
Mursal,مرسل
Munim,مُنیم
Mansur,منصور
Manzar,منظر
Mushahid,مشاہد
Mustajab,مستجاب
Mazin,معازن
Mansab,منصب
Mughees,مغیث
Maan,ریاض
Makki,مکی
Mamnoon,منون
Mamoon,مامون
Maulana,مولانا
Muhafiz,محافظ
Muqeet,مقیت
Muammar,مُعمر
Munsif,منصف
Maazin,ماظن
Masad,ماسد
Masir,ماثر
Masna,مثنیٰ
Muzzammil,مُزمل
Muazzam,معظم
Mufassil,مفصل
Mueez,معیز
Misbaah,مصباح
Muizz,معز
Mansour,منصور
Manazir,مناظر
Muhsin,محسن
Makhdoom,مخدوم
Mukeem,مقیم
Morad,موراد
Mubra,مبرا
Mahboob,محبوب
Mohsen,محسن
MashAllah,ماشاءاللہ
Muaz,معاذ
Mudabbir,مُدابیر
Majaz,مجاز
