Name in English,Name in Urdu
Parvaiz,پرویز
Pawan,پون
Parsa,پارسا
Pasha,پاشا
Payam,پیام
Pawar,پاوار
Pasban,پاسبان
Pouya,پویا
Painda,پائندہ
Pir,پیر
Parham,پرہم
Parviz,پرویز
Peyman,پیمان
Pamer,پامر
Pirzada,پیر زادہ
Payan,ےایان
Parman,پرمان
Parwan,پروان
Peroz,پیروز
Pirooz,پیروز
Parishan,پریشان
Pezhman,پزہمن
Purdil,پر دل
Piruz,پیروز
Pertas,پرطاس
peer buksh,پیر بخش
Purtab,پرتاب
Payara,پیارا
Pamard,پامرد
Pazir,پزیر
Pakhtoon,پختون
Perwak,پرواک
Pari Shan,پری شان
Perman,پرمان
Pehchan,پہچان
Puzhman,پزہمن
Pabast,پابست
Padree,پادری
Pindar,پندار
Pacheet,پچیت
Paiez,پائیز
Piam,پیام
Parwaz,پرواز
Piyara,پیارا
Perdak,پرداک
Pardhan,پردھان
Pajar,پجار
Paman,پامان
Parha,پاڑھا
Purtas,پرطاس
Payak,پایک
Pairose,پیروز
Pakzada,پاک زادہ
Pazman,پزمان
Partu,پرتو
Panjang,پنجانگ
Parawar,پرآور
Paretum,پریتم
Partab,پرتاب
Pandah,پانڈہ
Pandoo,پانڈو
Pareetam,پریتم
Partabi,پرتابی
Parbaj,پاربج
Parcheet,پچیت
Parvaiz Hussain,پرویزحسین
Parram,پرم
Pakoob,پاکوب
Pasukh,پاسخ
Parvaiz Ali,پرویزعلی
Parvaiz Ahmed,پرویزاحمد
Paralak,پرالک
Patel,پٹیل
Pathwal,پٹھوال
Parwakh,پرواخ
Perwaze,پرویز
Passtan,پاستان
Parbass,پرباس
Parvez,پرویز
Pathan,پٹھان
Pabel,پیبل
Pamir,پامیر
Padda,پڈا
Polash,پولاش
Pinaz,پناز
Prophet,پیغمبر
Paigambar,پائیگمبر
Poshan,پوشن
Piash,پیاش
Porosh,پورش
Payman,پے مین
Pinkal,پنکل
Puda,پڈا
Poriya,پوریا
Pullaiah,پلائیہ
Pashtana,پشتانہ
Prasen,پرسین
Pason,پاسون
Parzan,پرزان
Parzaan,پرزان
Pratama,پراتما
Patang,پتنگ
Parvaz,پرویز
Perwaiz,پرویز
Pervez,پرویز
Perwez,پرویز
Path,راستہ
Perzo,پرزو
Peiman,پیمان
Pehzan,پہزان
Parvaj,پرواز
Papak,پاپاک
Pazhwaak,پزواک
Pervaz,پرویز
Parbej,پربیج
Parveez,پرویز
Parvis,پارویس
Parwaiz,پرویز
Patman,پیٹ مین
Parwiz,پرویز
Pelabo,پیلابو
Phiroze,فیروز
Parwej,پرواز
Powle,پاول
Pujman,پجمان
Parvage,پروایج
Parvaez,پرویز
Parveiz,پرویز
Parweez,پرویز
